run_id,run_name,status,updated_at,output_dir,summary_path,metrics_summary_path,tcn_target_mode,tcn_other_mode,tcn_systole_weight_multiplier,tcn_boundary_ignore_ms,cnn_epochs,cnn_inner_val_size,encoder_block,pooling,patient_mil_attention,weak_murmur_weight,moderate_murmur_weight,decision_threshold,score_weights,error,threshold,auroc,auprc,balanced_accuracy,sensitivity,specificity,precision,precision_ppv,f1,brier_score,mean_score,tn,fp,fn,tp,cnn_phase_mode
tcn_attn_weight2_platt_thr045_ignore__20260526_131751_962264,tcn_attn_weight2_platt_thr045_ignore,completed,2026-05-26T19:24:57Z,/Users/thiagorodrigues/Desktop/obsidian/heart-research/experiments/nested_tcn_systole_cnn/tcn_attn_weight2_platt_thr045_ignore__20260526_131751_962264,/Users/thiagorodrigues/Desktop/obsidian/heart-research/experiments/nested_tcn_systole_cnn/tcn_attn_weight2_platt_thr045_ignore__20260526_131751_962264/summary.md,/Users/thiagorodrigues/Desktop/obsidian/heart-research/experiments/nested_tcn_systole_cnn/tcn_attn_weight2_platt_thr045_ignore__20260526_131751_962264/metrics_summary.json,cardiac-phase,ignore,2.0,10.0,50,0.15,residual,attention,False,1.0,1.0,0.5,"sensitivity=1,specificity=1,precision=1,f1=1",,0.5,0.9051886982034484,0.8415424681591178,0.8291869297857803,0.6871508379888268,0.9712230215827338,0.8601398601398601,0.8601398601398601,0.7639751552795031,0.0695665531957675,0.820622218747731,675.0,20.0,56.0,123.0,
tcn_attn_weight2_platt_thr045_ignore_both_phases__20260526_165429_523746,tcn_attn_weight2_platt_thr045_ignore_both_phases,failed,2026-05-26T21:25:58Z,/Users/thiagorodrigues/Desktop/obsidian/heart-research/experiments/nested_tcn_systole_cnn/tcn_attn_weight2_platt_thr045_ignore_both_phases__20260526_165429_523746,/Users/thiagorodrigues/Desktop/obsidian/heart-research/experiments/nested_tcn_systole_cnn/tcn_attn_weight2_platt_thr045_ignore_both_phases__20260526_165429_523746/summary.md,/Users/thiagorodrigues/Desktop/obsidian/heart-research/experiments/nested_tcn_systole_cnn/tcn_attn_weight2_platt_thr045_ignore_both_phases__20260526_165429_523746/metrics_summary.json,cardiac-phase,ignore,2.0,10.0,50,0.15,residual,attention,False,1.0,1.0,0.5,"sensitivity=1,specificity=1,precision=1,f1=1","Command '['/Users/thiagorodrigues/Desktop/obsidian/heart-research/.venv/bin/python3', '/Users/thiagorodrigues/Desktop/obsidian/heart-research/modeling/Grupo E TCN segmentacao frame a frame/train_tcn_frame_segmenter.py', '--dataset-dir', '/Users/thiagorodrigues/Desktop/obsidian/heart-research/experiments/nested_tcn_systole_cnn/tcn_attn_weight2_platt_thr045_ignore_both_phases__20260526_165429_523746/fold_3/tcn_dataset_train_patients', '--output-dir', '/Users/thiagorodrigues/Desktop/obsidian/heart-research/experiments/nested_tcn_systole_cnn/tcn_attn_weight2_platt_thr045_ignore_both_phases__20260526_165429_523746/fold_3/tcn', '--epochs', '10', '--batch-size', '42', '--device', 'mps', '--val-size', '0.15', '--test-size', '0.15', '--label-mode', 'overlap', '--target-mode', 'cardiac-phase', '--other-mode', 'ignore', '--boundary-ignore-ms', '10.0', '--systole-weight-multiplier', '2.0', '--no-causal', '--pooling', 'attention', '--exclude-murmur-unknown']' returned non-zero exit status 1.",,,,,,,,,,,,,,,,both
tcn_attn_weight2_platt_thr045_ignore_both_phases_reuse_tcn,tcn_attn_weight2_platt_thr045_ignore_both_phases_reuse_tcn,completed,2026-05-26T22:10:54Z,/Users/thiagorodrigues/Desktop/obsidian/heart-research/experiments/nested_tcn_systole_cnn/tcn_attn_weight2_platt_thr045_ignore_both_phases_reuse_tcn,/Users/thiagorodrigues/Desktop/obsidian/heart-research/experiments/nested_tcn_systole_cnn/tcn_attn_weight2_platt_thr045_ignore_both_phases_reuse_tcn/summary.md,/Users/thiagorodrigues/Desktop/obsidian/heart-research/experiments/nested_tcn_systole_cnn/tcn_attn_weight2_platt_thr045_ignore_both_phases_reuse_tcn/metrics_summary.json,cardiac-phase,ignore,2.0,10.0,50,0.15,residual,attention,False,1.0,1.0,0.5,"sensitivity=1,specificity=1,precision=1,f1=1",,0.5,0.8843776375547606,0.800473091097041,0.8088300309473092,0.6536312849162011,0.9640287769784172,0.823943661971831,0.823943661971831,0.7289719626168225,0.0804210411045103,0.7926439216208179,670.0,25.0,62.0,117.0,both
tcn_attn_weight2_platt_thr045_ignore_diastole_only_reuse_tcn,tcn_attn_weight2_platt_thr045_ignore_diastole_only_reuse_tcn,completed,2026-05-26T22:33:55Z,/Users/thiagorodrigues/Desktop/obsidian/heart-research/experiments/nested_tcn_systole_cnn/tcn_attn_weight2_platt_thr045_ignore_diastole_only_reuse_tcn,/Users/thiagorodrigues/Desktop/obsidian/heart-research/experiments/nested_tcn_systole_cnn/tcn_attn_weight2_platt_thr045_ignore_diastole_only_reuse_tcn/summary.md,/Users/thiagorodrigues/Desktop/obsidian/heart-research/experiments/nested_tcn_systole_cnn/tcn_attn_weight2_platt_thr045_ignore_diastole_only_reuse_tcn/metrics_summary.json,cardiac-phase,ignore,2.0,10.0,50,0.15,residual,attention,False,1.0,1.0,0.5,"sensitivity=1,specificity=1,precision=1,f1=1",,0.5,0.6697238856959126,0.381266802898715,0.5667014991358869,0.1564245810055866,0.9769784172661872,0.6363636363636364,0.6363636363636364,0.2511210762331838,0.1507446491931345,0.5052219277171485,679.0,16.0,151.0,28.0,diastole
tcn_attn_weight2_platt_thr045_ignore_margin100_reuse_tcn,tcn_attn_weight2_platt_thr045_ignore_margin100_reuse_tcn,completed,2026-05-27T01:45:42Z,/Users/thiagorodrigues/Desktop/obsidian/heart-research/experiments/nested_tcn_systole_cnn/tcn_attn_weight2_platt_thr045_ignore_margin100_reuse_tcn,/Users/thiagorodrigues/Desktop/obsidian/heart-research/experiments/nested_tcn_systole_cnn/tcn_attn_weight2_platt_thr045_ignore_margin100_reuse_tcn/summary.md,/Users/thiagorodrigues/Desktop/obsidian/heart-research/experiments/nested_tcn_systole_cnn/tcn_attn_weight2_platt_thr045_ignore_margin100_reuse_tcn/metrics_summary.json,cardiac-phase,ignore,2.0,10.0,50,0.15,residual,attention,False,1.0,1.0,0.5,"sensitivity=1,specificity=1,precision=1,f1=1",,0.5,0.910284956392428,0.8082303920799953,0.8318958241228247,0.6983240223463687,0.9654676258992806,0.8389261744966443,0.8389261744966443,0.7621951219512195,0.0759897662117547,0.8162282361733783,671.0,24.0,54.0,125.0,systole
tcn_attn_weight2_platt_thr045_ignore_ltsrr_minority_reuse_tcn,tcn_attn_weight2_platt_thr045_ignore_ltsrr_minority_reuse_tcn,completed,2026-05-27T02:27:31Z,/Users/thiagorodrigues/Desktop/obsidian/heart-research/experiments/nested_tcn_systole_cnn/tcn_attn_weight2_platt_thr045_ignore_ltsrr_minority_reuse_tcn,/Users/thiagorodrigues/Desktop/obsidian/heart-research/experiments/nested_tcn_systole_cnn/tcn_attn_weight2_platt_thr045_ignore_ltsrr_minority_reuse_tcn/summary.md,/Users/thiagorodrigues/Desktop/obsidian/heart-research/experiments/nested_tcn_systole_cnn/tcn_attn_weight2_platt_thr045_ignore_ltsrr_minority_reuse_tcn/metrics_summary.json,cardiac-phase,ignore,2.0,10.0,50,0.15,residual,attention,False,1.0,1.0,0.5,"sensitivity=1,specificity=1,precision=1,f1=1",,0.5,0.7923797275029139,0.658686075942121,0.7271050198946988,0.4916201117318435,0.962589928057554,0.7719298245614035,0.7719298245614035,0.6006825938566553,0.1086198874220911,0.7067056145518641,669.0,26.0,91.0,88.0,systole
tcn_attn_weight2_platt_thr045_ignore_logmel_reuse_tcn,tcn_attn_weight2_platt_thr045_ignore_logmel_reuse_tcn,completed,2026-05-27T02:40:27Z,/Users/thiagorodrigues/Desktop/obsidian/heart-research/experiments/nested_tcn_systole_cnn/tcn_attn_weight2_platt_thr045_ignore_logmel_reuse_tcn,/Users/thiagorodrigues/Desktop/obsidian/heart-research/experiments/nested_tcn_systole_cnn/tcn_attn_weight2_platt_thr045_ignore_logmel_reuse_tcn/summary.md,/Users/thiagorodrigues/Desktop/obsidian/heart-research/experiments/nested_tcn_systole_cnn/tcn_attn_weight2_platt_thr045_ignore_logmel_reuse_tcn/metrics_summary.json,cardiac-phase,ignore,2.0,10.0,50,0.15,residual,attention,False,1.0,1.0,0.5,"sensitivity=1,specificity=1,precision=1,f1=1",,0.5,0.8291547767372694,0.7246355188884354,0.7745910534142518,0.5865921787709497,0.962589928057554,0.8015267175572519,0.8015267175572519,0.6774193548387096,0.097606739213335,0.7570320448061163,669.0,26.0,74.0,105.0,systole
tcn_attn_weight2_platt_thr045_ignore_smote_stft_reuse_tcn,tcn_attn_weight2_platt_thr045_ignore_smote_stft_reuse_tcn,completed,2026-05-27T02:52:12Z,/Users/thiagorodrigues/Desktop/obsidian/heart-research/experiments/nested_tcn_systole_cnn/tcn_attn_weight2_platt_thr045_ignore_smote_stft_reuse_tcn,/Users/thiagorodrigues/Desktop/obsidian/heart-research/experiments/nested_tcn_systole_cnn/tcn_attn_weight2_platt_thr045_ignore_smote_stft_reuse_tcn/summary.md,/Users/thiagorodrigues/Desktop/obsidian/heart-research/experiments/nested_tcn_systole_cnn/tcn_attn_weight2_platt_thr045_ignore_smote_stft_reuse_tcn/metrics_summary.json,cardiac-phase,ignore,2.0,10.0,50,0.15,residual,attention,False,1.0,1.0,0.5,"sensitivity=1,specificity=1,precision=1,f1=1",,0.5,0.8904304489369398,0.8155076265395372,0.8185643663839878,0.6759776536312849,0.9611510791366906,0.8175675675675675,0.8175675675675675,0.7400611620795107,0.0766864330690172,0.7986893656037635,668.0,27.0,58.0,121.0,systole
tcn_attn_weight2_platt_thr045_ignore_smote_logmel_reuse_tcn,tcn_attn_weight2_platt_thr045_ignore_smote_logmel_reuse_tcn,completed,2026-05-27T03:00:16Z,/Users/thiagorodrigues/Desktop/obsidian/heart-research/experiments/nested_tcn_systole_cnn/tcn_attn_weight2_platt_thr045_ignore_smote_logmel_reuse_tcn,/Users/thiagorodrigues/Desktop/obsidian/heart-research/experiments/nested_tcn_systole_cnn/tcn_attn_weight2_platt_thr045_ignore_smote_logmel_reuse_tcn/summary.md,/Users/thiagorodrigues/Desktop/obsidian/heart-research/experiments/nested_tcn_systole_cnn/tcn_attn_weight2_platt_thr045_ignore_smote_logmel_reuse_tcn/metrics_summary.json,cardiac-phase,ignore,2.0,10.0,50,0.15,residual,attention,False,1.0,1.0,0.5,"sensitivity=1,specificity=1,precision=1,f1=1",,0.5,0.8492022024838229,0.7653260017138226,0.7976568465897673,0.6312849162011173,0.9640287769784172,0.8188405797101449,0.8188405797101449,0.7129337539432176,0.0875680526616835,0.7817720067082243,670.0,25.0,66.0,113.0,systole
tcn_attn_weight2_platt_thr045_ignore_multiscale_reuse_tcn,tcn_attn_weight2_platt_thr045_ignore_multiscale_reuse_tcn,completed,2026-05-27T03:26:15Z,/Users/thiagorodrigues/Desktop/obsidian/heart-research/experiments/nested_tcn_systole_cnn/tcn_attn_weight2_platt_thr045_ignore_multiscale_reuse_tcn,/Users/thiagorodrigues/Desktop/obsidian/heart-research/experiments/nested_tcn_systole_cnn/tcn_attn_weight2_platt_thr045_ignore_multiscale_reuse_tcn/summary.md,/Users/thiagorodrigues/Desktop/obsidian/heart-research/experiments/nested_tcn_systole_cnn/tcn_attn_weight2_platt_thr045_ignore_multiscale_reuse_tcn/metrics_summary.json,cardiac-phase,ignore,2.0,10.0,50,0.15,multiscale,attention,False,1.0,1.0,0.5,"sensitivity=1,specificity=1,precision=1,f1=1",,0.5,0.9007435392468148,0.8423602514726263,0.8430690084803665,0.7206703910614525,0.9654676258992806,0.8431372549019608,0.8431372549019608,0.7771084337349398,0.0687808567226221,0.8265959263994084,671.0,24.0,50.0,129.0,systole
tcn_attn_weight2_platt_thr045_ignore_multiscale_logmel_reuse_tcn,tcn_attn_weight2_platt_thr045_ignore_multiscale_logmel_reuse_tcn,completed,2026-05-27T13:01:04Z,/Users/thiagorodrigues/Desktop/obsidian/heart-research/experiments/nested_tcn_systole_cnn/tcn_attn_weight2_platt_thr045_ignore_multiscale_logmel_reuse_tcn,/Users/thiagorodrigues/Desktop/obsidian/heart-research/experiments/nested_tcn_systole_cnn/tcn_attn_weight2_platt_thr045_ignore_multiscale_logmel_reuse_tcn/summary.md,/Users/thiagorodrigues/Desktop/obsidian/heart-research/experiments/nested_tcn_systole_cnn/tcn_attn_weight2_platt_thr045_ignore_multiscale_logmel_reuse_tcn/metrics_summary.json,cardiac-phase,ignore,2.0,10.0,50,0.15,multiscale,attention,False,1.0,1.0,0.5,"sensitivity=1,specificity=1,precision=1,f1=1",,0.5,0.8665728869418432,0.7778293860234252,0.7940597242876091,0.6312849162011173,0.9568345323741008,0.7902097902097902,0.7902097902097902,0.701863354037267,0.0870877949671427,0.7700481482055689,665.0,30.0,66.0,113.0,systole
tcn_attn_weight2_platt_thr045_ignore_multiscale_logmel_dilated32_reuse_tcn,tcn_attn_weight2_platt_thr045_ignore_multiscale_logmel_dilated32_reuse_tcn,completed,2026-05-27T13:15:39Z,/Users/thiagorodrigues/Desktop/obsidian/heart-research/experiments/nested_tcn_systole_cnn/tcn_attn_weight2_platt_thr045_ignore_multiscale_logmel_dilated32_reuse_tcn,/Users/thiagorodrigues/Desktop/obsidian/heart-research/experiments/nested_tcn_systole_cnn/tcn_attn_weight2_platt_thr045_ignore_multiscale_logmel_dilated32_reuse_tcn/summary.md,/Users/thiagorodrigues/Desktop/obsidian/heart-research/experiments/nested_tcn_systole_cnn/tcn_attn_weight2_platt_thr045_ignore_multiscale_logmel_dilated32_reuse_tcn/metrics_summary.json,cardiac-phase,ignore,2.0,10.0,50,0.15,multiscale,attention,False,1.0,1.0,0.5,"sensitivity=1,specificity=1,precision=1,f1=1",,0.5,0.873284835818496,0.7776744096432413,0.8149672440818295,0.6759776536312849,0.953956834532374,0.7908496732026143,0.7908496732026143,0.7289156626506024,0.0849511429997914,0.787424956004219,663.0,32.0,58.0,121.0,systole
tcn_attn_weight2_platt_thr045_ignore_multiscale_logmel_dilated32_focal_reuse_tcn,tcn_attn_weight2_platt_thr045_ignore_multiscale_logmel_dilated32_focal_reuse_tcn,completed,2026-05-27T13:39:01Z,/Users/thiagorodrigues/Desktop/obsidian/heart-research/experiments/nested_tcn_systole_cnn/tcn_attn_weight2_platt_thr045_ignore_multiscale_logmel_dilated32_focal_reuse_tcn,/Users/thiagorodrigues/Desktop/obsidian/heart-research/experiments/nested_tcn_systole_cnn/tcn_attn_weight2_platt_thr045_ignore_multiscale_logmel_dilated32_focal_reuse_tcn/summary.md,/Users/thiagorodrigues/Desktop/obsidian/heart-research/experiments/nested_tcn_systole_cnn/tcn_attn_weight2_platt_thr045_ignore_multiscale_logmel_dilated32_focal_reuse_tcn/metrics_summary.json,cardiac-phase,ignore,2.0,10.0,50,0.15,multiscale,attention,False,1.0,1.0,0.5,"sensitivity=1,specificity=1,precision=1,f1=1",,0.5,0.8447329287408062,0.7286335410415841,0.7885575338611792,0.6145251396648045,0.962589928057554,0.8088235294117647,0.8088235294117647,0.6984126984126985,0.0917065599058945,0.7710878238867054,669.0,26.0,69.0,110.0,systole
tcn_attn_weight2_platt_thr045_ignore_multiscale_stft_dilated32_focal_reuse_tcn,tcn_attn_weight2_platt_thr045_ignore_multiscale_stft_dilated32_focal_reuse_tcn,completed,2026-05-27T13:54:02Z,/Users/thiagorodrigues/Desktop/obsidian/heart-research/experiments/nested_tcn_systole_cnn/tcn_attn_weight2_platt_thr045_ignore_multiscale_stft_dilated32_focal_reuse_tcn,/Users/thiagorodrigues/Desktop/obsidian/heart-research/experiments/nested_tcn_systole_cnn/tcn_attn_weight2_platt_thr045_ignore_multiscale_stft_dilated32_focal_reuse_tcn/summary.md,/Users/thiagorodrigues/Desktop/obsidian/heart-research/experiments/nested_tcn_systole_cnn/tcn_attn_weight2_platt_thr045_ignore_multiscale_stft_dilated32_focal_reuse_tcn/metrics_summary.json,cardiac-phase,ignore,2.0,10.0,50,0.15,multiscale,attention,False,1.0,1.0,0.5,"sensitivity=1,specificity=1,precision=1,f1=1",,0.5,0.9110083999839236,0.8430509163320455,0.8367629918411639,0.7094972067039106,0.9640287769784172,0.8355263157894737,0.8355263157894737,0.7673716012084593,0.0708186052028039,0.8191059751700652,670.0,25.0,52.0,127.0,systole
tcn_attn_weight2_platt_thr045_ignore_multiscale_stft_dilated32_bce_auc01_reuse_tcn,tcn_attn_weight2_platt_thr045_ignore_multiscale_stft_dilated32_bce_auc01_reuse_tcn,completed,2026-05-27T14:06:43Z,/Users/thiagorodrigues/Desktop/obsidian/heart-research/experiments/nested_tcn_systole_cnn/tcn_attn_weight2_platt_thr045_ignore_multiscale_stft_dilated32_bce_auc01_reuse_tcn,/Users/thiagorodrigues/Desktop/obsidian/heart-research/experiments/nested_tcn_systole_cnn/tcn_attn_weight2_platt_thr045_ignore_multiscale_stft_dilated32_bce_auc01_reuse_tcn/summary.md,/Users/thiagorodrigues/Desktop/obsidian/heart-research/experiments/nested_tcn_systole_cnn/tcn_attn_weight2_platt_thr045_ignore_multiscale_stft_dilated32_bce_auc01_reuse_tcn/metrics_summary.json,cardiac-phase,ignore,2.0,10.0,50,0.15,multiscale,attention,False,1.0,1.0,0.5,"sensitivity=1,specificity=1,precision=1,f1=1",,0.5,0.9071419959004864,0.8320043066585482,0.8492906233672279,0.7374301675977654,0.9611510791366906,0.8301886792452831,0.8301886792452831,0.7810650887573964,0.071917282299673,0.8274587536842838,668.0,27.0,47.0,132.0,systole
